,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_leaf_nodes,param_estimator__min_child_weight,param_estimator__n_estimator,param_estimator__reg_alpha,param_estimator__reg_lamda,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0,98.9140332698822,12.218073979810367,0.08734682559967041,0.16417346463446075,0.3,0.01,3,100,1,200,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 200, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
1,87.15666414737701,12.666445643278951,0.06625381469726563,0.1329405098342641,0.3,0.01,3,100,1,800,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 800, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
2,78.83188914299011,5.283988943043187,0.06700245380401611,0.14659696949061976,0.3,0.01,3,100,1,1600,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 1600, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
3,79.3832390499115,4.992803286054476,0.05281541347503662,0.12330866073382826,0.3,0.01,3,200,1,200,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 200, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 200, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
4,77.94414510726929,7.123020306108894,0.04593952655792236,0.1220558637037184,0.3,0.01,3,200,1,800,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 200, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 800, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
5,79.34709499835968,5.475345542967139,0.030002021789550783,0.07911235532205034,0.3,0.01,3,200,1,1600,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 3, 'estimator__max_leaf_nodes': 200, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 1600, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
6,78.05207242965699,5.984494492635372,0.04062728404998779,0.11311225190881946,0.3,0.01,6,100,1,200,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 6, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 200, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
7,76.8832082271576,6.580051278521383,0.03312385559082031,0.09670995230176853,0.3,0.01,6,100,1,800,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 6, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 800, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
8,80.2535713815689,4.503406384183656,0.021250290870666502,0.06744745685931586,0.3,0.01,6,100,1,1600,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 6, 'estimator__max_leaf_nodes': 100, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 1600, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
9,79.31841639518738,4.85563935768223,0.0771930170059204,0.1564587466890049,0.3,0.01,6,200,1,200,0.0,1,1,"{'estimator__colsample_bytree': 0.3, 'estimator__learning_rate': 0.01, 'estimator__max_depth': 6, 'estimator__max_leaf_nodes': 200, 'estimator__min_child_weight': 1, 'estimator__n_estimator': 200, 'estimator__reg_alpha': 0.0, 'estimator__reg_lamda': 1, 'estimator__subsample': 1}",-0.03265605359533057,-0.032837550842626746,-0.035868610888203305,-0.028543804276132415,-0.03220819310162187,-0.03417315810339757,-0.034618352979665534,-0.029760590207239465,-0.030245801370056644,-0.03180143833763024,-0.031357567270005555,-0.03339208551893604,-0.03329705256497837,-0.032891203494046575,-0.03254940170309014,-0.034686894244167675,-0.029303171061776663,-0.03083918560721576,-0.03204895979707096,-0.03204031859506472,-0.03303261985790951,-0.03157171600859357,-0.03213841252093299,-0.03281757284157373,-0.03475857443792635,-0.033148483996903635,-0.033671890524509,-0.030783364190869886,-0.0336423296974246,-0.031852601710777424,-0.030683466884467735,-0.033932613166958114,-0.03153221605369385,-0.030092574659878954,-0.03024589113963422,-0.03177971252168219,-0.03093302989671768,-0.0335109158025656,-0.030420060129168053,-0.033767336409410535,-0.031109362512997493,-0.03145417901165164,-0.03401595562798044,-0.034561901972049794,-0.03097080353640054,-0.030980097742558686,-0.03090096744750302,-0.033109602405858383,-0.032741074362888895,-0.034354421444625874,-0.03227266284148739,0.001592193933751086,1
